[header]
Calibrated DALEC Transect File
DALECproc v6.0
Device: DALEC
DALEC serial number: 0005
Ed spectrometer module: SN099065
Lu spectrometer module: SN114810
Lsky spectrometer module: SN099059
DTF File Creation Date:Wed Jun 22 16:00:24 2022 UTC
Data Source: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\logFiles\TESTLOG_20220622.log
Calibration File: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\DALEC_SN0005\Cal\DALEC0005_2019_10_16.cal
Channel Ed units: W/m^2/nm
Channel Lu units: W/m^2/sr/nm
Channel Lsky units: W/m^2/sr/nm
[Spectrometer Wavelengths (nm)]
Pixel #,          Ed,          Lu,        Lsky
    220,       1033.66,       1032.94,       1040.35
Sample #, UTC Date, UTC Time, GPS_Fix, Lat, Lon, Solar Azi, Solar Elev, Relaz, Heading, Pitch, Roll, Gearpos, Voltage, Temp, Channel, Integration Time, Saturation Flag, Spec[21], Spec[22], Spec[23], Spec[24], Spec[25], Spec[26], Spec[27], Spec[28], Spec[29], Spec[30], Spec[31], Spec[32], Spec[33], Spec[34], Spec[35], Spec[36], Spec[37], Spec[38], Spec[39], Spec[40], Spec[41], Spec[42], Spec[43], Spec[44], Spec[45], Spec[46], Spec[47], Spec[48], Spec[49], Spec[50], Spec[51], Spec[52], Spec[53], Spec[54], Spec[55], Spec[56], Spec[57], Spec[58], Spec[59], Spec[60], Spec[61], Spec[62], Spec[63], Spec[64], Spec[65], Spec[66], Spec[67], Spec[68], Spec[69], Spec[70], Spec[71], Spec[72], Spec[73], Spec[74], Spec[75], Spec[76], Spec[77], Spec[78], Spec[79], Spec[80], Spec[81], Spec[82], Spec[83], Spec[84], Spec[85], Spec[86], Spec[87], Spec[88], Spec[89], Spec[90], Spec[91], Spec[92], Spec[93], Spec[94], Spec[95], Spec[96], Spec[97], Spec[98], Spec[99], Spec[100], Spec[101], Spec[102], Spec[103], Spec[104], Spec[105], Spec[106], Spec[107], Spec[108], Spec[109], Spec[110], Spec[111], Spec[112], Spec[113], Spec[114], Spec[115], Spec[116], Spec[117], Spec[118], Spec[119], Spec[120], Spec[121], Spec[122], Spec[123], Spec[124], Spec[125], Spec[126], Spec[127], Spec[128], Spec[129], Spec[130], Spec[131], Spec[132], Spec[133], Spec[134], Spec[135], Spec[136], Spec[137], Spec[138], Spec[139], Spec[140], Spec[141], Spec[142], Spec[143], Spec[144], Spec[145], Spec[146], Spec[147], Spec[148], Spec[149], Spec[150], Spec[151], Spec[152], Spec[153], Spec[154], Spec[155], Spec[156], Spec[157], Spec[158], Spec[159], Spec[160], Spec[161], Spec[162], Spec[163], Spec[164], Spec[165], Spec[166], Spec[167], Spec[168], Spec[169], Spec[170], Spec[171], Spec[172], Spec[173], Spec[174], Spec[175], Spec[176], Spec[177], Spec[178], Spec[179], Spec[180], Spec[181], Spec[182], Spec[183], Spec[184], Spec[185], Spec[186], Spec[187], Spec[188], Spec[189], Spec[190], Spec[191], Spec[192], Spec[193], Spec[194], Spec[195], Spec[196], Spec[197], Spec[198], Spec[199], Spec[200], Spec[201], Spec[202], Spec[203], Spec[204], Spec[205], Spec[206], Spec[207], Spec[208], Spec[209], Spec[210], Spec[211], Spec[212], Spec[213], Spec[214], Spec[215], Spec[216], Spec[217], Spec[218], Spec[219], Spec[220]
OUTPUT LOG_0063.TXT DATA TO SCREEN
FILESIZE (Bytes)=180563.00
In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0063.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
